词语 单音节词比例 双音节词比例 三音节词比例 四音节词比例 词汇密度 平均句长 平均小句长 句子破碎度 句子离散度 修饰词与动词比 成语比例 歇后语占比 甲级词比例 乙级词比例 丙级词比例 丁级词比例 合偶词比例 嵌偶词比例 古语功能词比例
谏 0.5871633670071388 0.16317587465667582 0.014230751352653535 0.0025778352491980273 0.6100081293276506 22.149013728823583 7.221855080625317 3.076191254652051 12.588784930485042 0.5444008407057135 0.0008338574423480084 0.0027624281365479938 0.31564610865959575 0.20210687817227488 0.13743334766521376 0.11333204407728545 0.004141049428314545 0.09837450301542025 0.0294561493337531
谥 0.5841177856539026 0.1691624798007645 0.014835609701686632 0.0028026688816211766 0.6248458406650007 21.416942484889038 7.148206415137662 3.0151070033938567 12.560235211428685 0.5139306995713335 0.0004042224080267559 0.0013937240700897852 0.2956822597791551 0.19815867518304636 0.13219134609163902 0.11846950496911096 0.00299904106236889 0.09609163452267577 0.02295880587854439
徙 0.5808666232613731 0.17057246553831257 0.015705029258738304 0.0034564039457469302 0.628524528316615 31.67404027633579 17.003266726644902 3.021967346062956 12.53015663851777 0.514058605702682 0.00034587682672233816 0.001392226275915868 0.3115194671499323 0.20150981661675568 0.1247127455497725 0.11733883774085532 0.0046264910693389625 0.0976833298816596 0.023122583641221155
诣 0.5861596698578364 0.1692237519807362 0.014654300951229503 0.002648425682624189 0.6339400337579462 21.33929834932495 7.265124945200214 3.024685918909212 12.322024274022958 0.44031461015796125 0.00034248251748251747 0.001175817977036062 0.29387295070418135 0.21082722087901068 0.1262204791084853 0.11895510984972385 0.004367027202232175 0.10102860346704 0.021119704976578117
擢 0.5761467873239622 0.1763326433469536 0.018137215286013 0.002894384521079406 0.6356660280786633 21.973743516043804 7.2049385483194195 3.071308328826256 12.229424767620658 0.4356516328960016 0.00047525279027384155 0.0014840461018834467 0.2852961746334934 0.20304038622576617 0.12554074506819163 0.12013860942910565 0.003931538220487878 0.10036858417149597 0.020756656062830402
谒 0.5735222956067068 0.1777011715075683 0.014337901993070744 0.0024024865874174624 0.6337517244003767 20.825735896037664 7.193749388568234 2.9109503583025 11.473776349312555 0.47936186261523545 0.0005204468233990866 0.0018331299033490602 0.29958411198987617 0.19984232676279595 0.12676406702177564 0.11459537782048378 0.004128156934655827 0.09526461179901308 0.021277909914892562
官人 0.48563701879855103 0.25475405586048594 0.01034249968765547 0.004761847980515527 0.6688660891514482 23.081829525560725 8.344322630478413 2.7799507105853047 11.501870874275564 0.5333442530892065 0.003276104700049291 0.005107539990360679 0.3763410772032493 0.17877308589401786 0.1029767876169284 0.06553979504053375 0.008101908122228812 0.06779265684903041 0.007490996742260884
攸 0.5862819741467115 0.1723556711654986 0.011858092976610956 0.003012148562542654 0.6202322679870182 31.069655606074388 16.75404041350156 2.9095675005741684 12.056525418392333 0.5167786923589209 0.0010540322580645163 0.002591005129318288 0.31552599755036304 0.20258394501159557 0.13439292565095068 0.1147314801581062 0.0062432337752816435 0.09387519314282755 0.02698902153684218
饬 0.5432451169742085 0.21345106346112888 0.017178449573113326 0.0028015702937194704 0.6617315903310081 17.83013807447159 8.224423779915206 2.3163245168610858 10.727017354287163 0.3965818044375215 0.0006850352947670494 0.0011543680934207527 0.2831632956677182 0.2148463816881762 0.12351661999502106 0.1222792612704183 0.01408267395016091 0.09857875761339016 0.017671962265944093
珪 0.5720046673088661 0.17599622630553705 0.014750291620381738 0.0033034661119402697 0.6251186923837339 22.62875055826441 7.371453124484043 3.0891124109593027 13.285286369636717 0.5001070907856069 0.0006283478605388274 0.0021526067866327507 0.3074889717595761 0.20469539117355645 0.1220337255290723 0.1106296379341151 0.005188550917935509 0.09454616978695253 0.023087052576262295
诰 0.5699887624796698 0.1747892710760702 0.01680659751079012 0.0033073025563630284 0.6249752696661153 24.877237951234534 7.771216869597822 3.222938256638496 15.276253377564094 0.5192195699525769 0.000684744378958855 0.0020478884595384926 0.31607693756762223 0.20931407783702688 0.1352091733165404 0.10773530267340355 0.006651300859071292 0.09732176878386203 0.027152309306604984
